set,experiment,class_id,class_name,precision,recall,f1,mAP50,mAP50-95
test,m640_i640,0,BAAC,0.9645192176789255,0.8770840243641124,0.9187260075409742,0.9473333333333332,0.7696786919360832
test,m640_i640,1,BAY,0.9533798352550765,0.8525618286602241,0.9001567126932097,0.9483217391304348,0.7801140481910815
test,m640_i640,2,BBL,0.941331232148529,0.9047619047619048,0.9226843668742749,0.905,0.7948502046972635
test,m640_i640,3,GSB,0.9891011259817617,1.0,0.994520703911995,0.995,0.950456223893066
test,m640_i640,4,KBANK,0.9960820141657583,0.9714285714285714,0.9836008356259439,0.975,0.9195536218165425
test,m640_i640,5,KTB,1.0,0.9580644283860117,0.9785831502753181,0.995,0.8918687405731524
test,m640_i640,6,K_PLUS,0.9721650027781864,1.0,0.9858860707990444,0.995,0.8455
test,m640_i640,7,SCB,1.0,0.9092160896007053,0.9524496410365569,0.925,0.8367542603968579
test,m640_i960,0,BAAC,0.9031268328707133,0.9032258064516129,0.9031763169496855,0.951486407249467,0.701094583240143
test,m640_i960,1,BAY,0.879123613711527,0.9583333333333334,0.9170211737425209,0.9452331002331003,0.7674519329999206
test,m640_i960,2,BBL,0.827572646099882,0.9047619047619048,0.8644475782598624,0.9186290322580646,0.7802757991534082
test,m640_i960,3,GSB,0.9660301783522355,1.0,0.9827216173882767,0.995,0.9293009663195422
test,m640_i960,4,KBANK,0.9711612282442232,0.9623389031607333,0.9667299381062566,0.9741428571428571,0.8998913562244206
test,m640_i960,5,KTB,1.0,0.9629718867714164,0.981136707317044,0.995,0.8248534250063662
test,m640_i960,6,K_PLUS,0.9854859948126423,1.0,0.9926899483424827,0.995,0.39775
test,m640_i960,7,SCB,0.9899048455394253,0.8974358974358975,0.9414051455619249,0.9382210526315791,0.8359674864093682
test,m960_i640,0,BAAC,0.9801545527682685,0.8709677419354839,0.9223410036331323,0.9491189699268013,0.7526406389263889
test,m960_i640,1,BAY,1.0,0.7909099161598867,0.883249245563144,0.915,0.7524535353535353
test,m960_i640,2,BBL,0.9932085123387678,0.9047619047619048,0.9469243749563634,0.905,0.8143253446115288
test,m960_i640,3,GSB,0.9932434649794912,1.0,0.9966102811125592,0.995,0.9609200404858299
test,m960_i640,4,KBANK,0.9963435957949475,0.9714285714285714,0.9837283523333328,0.975,0.915217276936027
test,m960_i640,5,KTB,0.9933434927139109,1.0,0.9966606320935554,0.995,0.9193788461538462
test,m960_i640,6,K_PLUS,0.9749048714901434,1.0,0.9872929937678865,0.995,0.945
test,m960_i640,7,SCB,1.0,0.9424049189750701,0.9703485712673542,0.975,0.8865193220134395
test,m960_i960,0,BAAC,0.9606322381263346,0.9032258064516129,0.9310449693410544,0.94789592760181,0.7741275891864128
test,m960_i960,1,BAY,1.0,0.8809217458377953,0.9366915426302516,0.9902564102564103,0.82615940464764
test,m960_i960,2,BBL,0.9848560780579346,0.9047619047619048,0.943111538100759,0.9526190476190477,0.8205385522630104
test,m960_i960,3,GSB,0.9843347238091187,1.0,0.9921055273573954,0.995,0.9572884615384616
test,m960_i960,4,KBANK,0.9916475030152947,0.9714285714285714,0.9814339135968146,0.975,0.926101587318229
test,m960_i960,5,KTB,0.9854577346168426,1.0,0.9926756107019503,0.995,0.9153514705882353
test,m960_i960,6,K_PLUS,0.4881552069016249,0.5,0.4940066130221007,0.33840909090909105,0.2707272727272728
test,m960_i960,7,SCB,1.0,0.9605378083775906,0.9798717517949498,0.975,0.8820230765124701
test_0.5,m640_i640,0,BAAC,1.0,0.875412622074302,0.9335680178008517,0.942061790668348,0.7542864618987569
test_0.5,m640_i640,1,BAY,0.9552888194253666,0.8906726095514785,0.9218497985026047,0.9500000000000001,0.7809803030303031
test_0.5,m640_i640,2,BBL,0.9490862514032522,0.9047619047619048,0.9263941944190625,0.905,0.7914868421052632
test_0.5,m640_i640,3,GSB,1.0,0.9524230143266461,0.9756318250070606,0.995,0.9365702614379086
test_0.5,m640_i640,4,KBANK,0.9902985229277632,0.9714285714285714,0.9807727916723159,0.975,0.9106399238461265
test_0.5,m640_i640,5,KTB,1.0,0.8945979487975066,0.9443670614816237,0.9771428571428572,0.8631691580478347
test_0.5,m640_i640,6,K_PLUS,0.9639442285607938,1.0,0.9816411429027043,0.995,0.82075
test_0.5,m640_i640,7,SCB,0.999455618753992,0.8974358974358975,0.9457023161403074,0.9234210526315789,0.8253658199402935
test_0.5,m640_i960,0,BAAC,0.9420701414398673,0.9032258064516129,0.9222391283179144,0.948871921182266,0.6466582440264173
test_0.5,m640_i960,1,BAY,0.8097906004327041,0.8872750125313194,0.8467639196244842,0.9238471177944861,0.7203025413913572
test_0.5,m640_i960,2,BBL,0.8044810502464909,0.9047619047619048,0.8516797512408614,0.905,0.7666844685242518
test_0.5,m640_i960,3,GSB,0.901296270094615,0.9473684210526315,0.9237582438709016,0.9881818181818182,0.8814598930481283
test_0.5,m640_i960,4,KBANK,0.970779565087317,0.94936235582592,0.9599515169801883,0.9741428571428571,0.8852648372460872
test_0.5,m640_i960,5,KTB,0.9612863250154265,0.7777777777777778,0.8598500083784107,0.9068623481781377,0.7451542799305957
test_0.5,m640_i960,6,K_PLUS,1.0,0.9409417119999022,0.9695723536492781,0.995,0.5732727272727272
test_0.5,m640_i960,7,SCB,0.9722355793190292,0.8978920936653054,0.9335861422312387,0.9241891891891892,0.8185849370988676
test_0.5,m960_i640,0,BAAC,1.0,0.8287678897961541,0.9063674995830485,0.9012500000000001,0.714602583286279
test_0.5,m960_i640,1,BAY,1.0,0.7584125888449379,0.8626105086555621,0.9132608695652173,0.7345025021380855
test_0.5,m960_i640,2,BBL,0.9930345504927699,0.9047619047619048,0.946845304627415,0.905,0.7968380116959065
test_0.5,m960_i640,3,GSB,0.9951051776205279,1.0,0.9975465842932101,0.995,0.949491452991453
test_0.5,m960_i640,4,KBANK,0.9967476138477789,0.9714285714285714,0.9839252378303024,0.975,0.9075425074272132
test_0.5,m960_i640,5,KTB,1.0,0.986551588158342,0.9932302730410714,0.995,0.9011961633138104
test_0.5,m960_i640,6,K_PLUS,0.973974179389662,1.0,0.9868155212555086,0.995,0.8955
test_0.5,m960_i640,7,SCB,1.0,0.9288338356024028,0.9631040460385895,0.9728048780487805,0.8667041099531774
test_0.5,m960_i960,0,BAAC,0.9330818087051262,0.8996963479590301,0.9160850074369793,0.918,0.7440613031906225
test_0.5,m960_i960,1,BAY,0.9706328994543738,0.875,0.9203388033163664,0.9043333333333334,0.7706598370927319
test_0.5,m960_i960,2,BBL,0.9655155019706964,0.9047619047619048,0.9341519514650796,0.9466666666666668,0.8191525641025642
test_0.5,m960_i960,3,GSB,0.9648324292097027,1.0,0.9821014910648423,0.995,0.9421428571428571
test_0.5,m960_i960,4,KBANK,0.9533143774538669,0.9714285714285714,0.962286236040023,0.975,0.9157154055183947
test_0.5,m960_i960,5,KTB,1.0,0.9850939405125548,0.9924910054969003,0.995,0.8941004273504273
test_0.5,m960_i960,6,K_PLUS,0.6521913013805599,1.0,0.7894864242846373,0.8283333333333331,0.6791666666666665
test_0.5,m960_i960,7,SCB,0.9831231487002035,0.9487179487179487,0.9656141783281476,0.9687499999999999,0.8524952108301678
test_0.25,m640_i640,0,BAAC,0.964467447678548,0.875727984354225,0.9179580812216217,0.9480303030303029,0.7730083889769234
test_0.25,m640_i640,1,BAY,0.953612366205372,0.8570380494534118,0.9027497248495053,0.9469063545150501,0.7903635964206297
test_0.25,m640_i640,2,BBL,0.9209619785735524,0.9047619047619048,0.9127900681511749,0.905,0.7980837500992299
test_0.25,m640_i640,3,GSB,0.9921518712671334,1.0,0.9960604766905273,0.995,0.943576388888889
test_0.25,m640_i640,4,KBANK,0.9936833004473783,0.9714285714285714,0.9824299194574913,0.975,0.9182758440387648
test_0.25,m640_i640,5,KTB,0.9968973750675839,0.9444444444444444,0.9699622993754765,0.9923684210526315,0.8614240140793159
test_0.25,m640_i640,6,K_PLUS,0.9706961515691299,1.0,0.9851302046702951,0.995,0.82075
test_0.25,m640_i640,7,SCB,0.9980188406539235,0.9230769230769231,0.9590861403124643,0.925,0.8369567845117846
test_0.25,m640_i960,0,BAAC,0.897388533275986,0.9354838709677419,0.9160403058362063,0.9565229037267082,0.694819348068412
test_0.25,m640_i960,1,BAY,0.8816744875355448,0.9317835680292234,0.9060367261489889,0.9452331002331003,0.7619786728622254
test_0.25,m640_i960,2,BBL,0.8452920524347945,0.9047619047619048,0.8740165345142502,0.905,0.7771964320509213
test_0.25,m640_i960,3,GSB,0.9659860088357582,1.0,0.9826987623455242,0.995,0.9137095864661655
test_0.25,m640_i960,4,KBANK,0.9711229887729744,0.9610387611382755,0.9660545594447747,0.9741428571428571,0.8936188897515528
test_0.25,m640_i960,5,KTB,1.0,0.9052923311237647,0.9502923161295803,0.995,0.8122787114845937
test_0.25,m640_i960,6,K_PLUS,0.9653386163038595,1.0,0.9823636581459296,0.995,0.546
test_0.25,m640_i960,7,SCB,0.9880028159247116,0.8974358974358975,0.940544168840351,0.9424358974358975,0.8322732217529865
test_0.25,m960_i640,0,BAAC,0.9654469874205137,0.9013856059824884,0.9323171460314703,0.9412988505747127,0.7353974115344502
test_0.25,m960_i640,1,BAY,1.0,0.8064321369166727,0.8928452062341403,0.915,0.7531760295260296
test_0.25,m960_i640,2,BBL,0.9849522353261186,0.9047619047619048,0.9431556251059697,0.905,0.8043194966583125
test_0.25,m960_i640,3,GSB,0.9866008596959468,1.0,0.9932552428744524,0.995,0.9568307843472317
test_0.25,m960_i640,4,KBANK,0.9915531927330723,0.9714285714285714,0.9813877225940543,0.975,0.9136105095068331
test_0.25,m960_i640,5,KTB,0.9867257028881711,1.0,0.9933185053716617,0.995,0.9096910148674855
test_0.25,m960_i640,6,K_PLUS,0.6386761601252361,1.0,0.779502595651877,0.8283333333333331,0.7454999999999998
test_0.25,m960_i640,7,SCB,1.0,0.9570179430398915,0.9780369632721184,0.975,0.8823132390306014
test_0.25,m960_i960,0,BAAC,0.9100246105494264,0.9354838709677419,0.9225786322616472,0.9646770921939412,0.7698707102216217
test_0.25,m960_i960,1,BAY,0.9629532651152214,0.875,0.9168721783826175,0.9445238095238095,0.793828431372549
test_0.25,m960_i960,2,BBL,0.9255876274953143,0.9047619047619048,0.9150562885592367,0.9484782608695652,0.8170422091033209
test_0.25,m960_i960,3,GSB,0.9586320016744746,1.0,0.9788791369230366,0.995,0.944
test_0.25,m960_i960,4,KBANK,0.9737184870741841,0.9714285714285714,0.972572181354919,0.975,0.9208268534706034
test_0.25,m960_i960,5,KTB,0.9586844548155652,1.0,0.978906482316303,0.995,0.9211166666666666
test_0.25,m960_i960,6,K_PLUS,0.6325841795476395,0.8977525386429186,0.7421948991274554,0.6633333333333333,0.5471666666666667
test_0.25,m960_i960,7,SCB,1.0,0.9712160043098458,0.9853978480150215,0.975,0.8861593583513845
