set,experiment,class_id,class_name,precision,recall,f1,mAP50,mAP50-95
test,m640_i640,0,BAAC,0.9645199631173906,0.8771035500426181,0.9187370574842736,0.9473333333333332,0.7679267274421396
test,m640_i640,1,BAY,0.9533836772279595,0.8526357866382197,0.9001996466429362,0.9483217391304348,0.7650377201315309
test,m640_i640,2,BBL,0.9413653205838486,0.9047619047619048,0.9227007422185983,0.905,0.7948502046972635
test,m640_i640,3,GSB,0.9891158829869457,1.0,0.9945281634387685,0.995,0.9434675020885546
test,m640_i640,4,KBANK,0.9960122675032219,0.9714285714285714,0.9835668295584566,0.975,0.925570213054919
test,m640_i640,5,KTB,1.0,0.9580618303596824,0.9785817950229826,0.995,0.8881682773109244
test,m640_i640,6,K_PLUS,0.9719887093134126,1.0,0.9857954102098587,0.995,0.8455
test,m640_i640,7,SCB,1.0,0.9093737068305643,0.952536115457529,0.925,0.8315778370014127
test,m640_i960,0,BAAC,0.9031782031449473,0.9032258064516129,0.9032020041710466,0.951486407249467,0.702444583240143
test,m640_i960,1,BAY,0.8791676100353999,0.9583333333333334,0.9170451088196829,0.9452331002331003,0.7672414066841311
test,m640_i960,2,BBL,0.8270473883712041,0.9047619047619048,0.864160936655253,0.9186290322580646,0.7746731273154424
test,m640_i960,3,GSB,0.9663475044345605,1.0,0.9828857841813079,0.995,0.9293009663195422
test,m640_i960,4,KBANK,0.9711599727340194,0.9622962158138038,0.9667077767236082,0.9741428571428571,0.8903114587025878
test,m640_i960,5,KTB,1.0,0.9633883754037931,0.9813528362218823,0.995,0.8304645361174773
test,m640_i960,6,K_PLUS,0.9846986061606302,1.0,0.99229031864492,0.995,0.39775
test,m640_i960,7,SCB,0.9900236475137268,0.8974358974358975,0.9414588651360528,0.9385230934479055,0.8305374829013926
test,m960_i640,0,BAAC,0.9789280020761503,0.8709677419354839,0.9217975815617824,0.9491189699268013,0.7563221986227313
test,m960_i640,1,BAY,1.0,0.791625839454478,0.8836954926878211,0.915,0.7566353535353535
test,m960_i640,2,BBL,0.9932085416517957,0.9047619047619048,0.9469243882787001,0.905,0.8014782268170426
test,m960_i640,3,GSB,0.9932250297622214,1.0,0.996601000821976,0.995,0.9555910931174088
test,m960_i640,4,KBANK,0.9963348448999663,0.9714285714285714,0.9837240869652252,0.975,0.9129162869892848
test,m960_i640,5,KTB,0.9933545345697768,1.0,0.9966661899250865,0.995,0.9157121794871795
test,m960_i640,6,K_PLUS,0.9743296190401979,1.0,0.9869979254161818,0.995,0.945
test,m960_i640,7,SCB,1.0,0.9422958000735778,0.9702907250665753,0.975,0.8893758041640394
test,m960_i960,0,BAAC,0.9606212459359618,0.9032258064516129,0.931039806558804,0.9475693673695894,0.7736404145983502
test,m960_i960,1,BAY,1.0,0.8809041513158467,0.9366815961351161,0.9902564102564103,0.8292523372052782
test,m960_i960,2,BBL,0.9848032170435659,0.9047619047619048,0.9430873000202606,0.9526190476190477,0.8146882832080202
test,m960_i960,3,GSB,0.9843572682980609,1.0,0.9921169781511394,0.995,0.9622884615384615
test,m960_i960,4,KBANK,0.9916484754208331,0.9714285714285714,0.9814343898355208,0.975,0.9354470032684705
test,m960_i960,5,KTB,0.9854763811931421,1.0,0.9926850709762005,0.995,0.9272739495798319
test,m960_i960,6,K_PLUS,0.4881891476973168,0.5,0.4940239921020156,0.33840909090909105,0.2707272727272728
test,m960_i960,7,SCB,1.0,0.9605953569037173,0.9799016951878777,0.975,0.8796882926957574
test_0.5,m640_i640,0,BAAC,1.0,0.875332375493989,0.9335223845462745,0.9371540983606557,0.7474120587882063
test_0.5,m640_i640,1,BAY,0.9552833853771621,0.8905580417018325,0.9217859004259681,0.9500000000000001,0.7735945632798574
test_0.5,m640_i640,2,BBL,0.9492350616695404,0.9047619047619048,0.9264650784364424,0.905,0.7856118421052632
test_0.5,m640_i640,3,GSB,1.0,0.9522526141535681,0.9755424141833543,0.995,0.936014705882353
test_0.5,m640_i640,4,KBANK,0.9903422200048553,0.9714285714285714,0.9807942214306985,0.975,0.9077121163594954
test_0.5,m640_i640,5,KTB,1.0,0.8944786729814824,0.9443005991445389,0.9771428571428572,0.873689991381168
test_0.5,m640_i640,6,K_PLUS,0.964267329631638,1.0,0.9818086520967271,0.995,0.82075
test_0.5,m640_i640,7,SCB,0.9995112684617605,0.8974358974358975,0.945727227763671,0.9234210526315789,0.8258346998917597
test_0.5,m640_i960,0,BAAC,0.941310243533898,0.9032258064516129,0.9218748571964724,0.948871921182266,0.6589783981914742
test_0.5,m640_i960,1,BAY,0.809946965403609,0.8881897476111126,0.847265812306811,0.9238471177944861,0.7271521257689678
test_0.5,m640_i960,2,BBL,0.8050304899251559,0.9047619047619048,0.8519875532484208,0.905,0.7662658410732714
test_0.5,m640_i960,3,GSB,0.9013426276584171,0.9473684210526315,0.9237825917549851,0.9855502392344497,0.8773515339150014
