set,labeled,experiment,training_size,inference_size,model_path,device,half,image_count,predict_conf,predict_iou,precision,recall,f1,mAP50,mAP75,mAP50-95,preprocess_ms_per_image,inference_ms_per_image,postprocess_ms_per_image,pipeline_ms_per_image,inference_fps,pipeline_fps,benchmark_batch,benchmark_repeats,benchmark_warmup_runs,end_to_end_mean_total_seconds,end_to_end_mean_ms_per_image,end_to_end_mean_fps,end_to_end_fps_std
examples_photos,False,m640_i640,640,640,/workspace/models/yolo11s_640_best.pt,cpu,False,22,0.5,0.45,,,,,,,,,,,,,1,5,3,1.9595891711999684,89.07223505454402,11.228438357550347,0.14864981097736354
examples_photos,False,m640_i960,640,960,/workspace/models/yolo11s_640_best.pt,cpu,False,22,0.5,0.45,,,,,,,,,,,,,1,5,3,3.679550397799994,167.25229080909065,5.979080072356713,0.025750268161804445
examples_photos,False,m960_i640,960,640,/workspace/models/yolo11s_960_best.pt,cpu,False,22,0.5,0.45,,,,,,,,,,,,,1,5,3,1.9064159809999182,86.65527186363265,11.542999160912508,0.20937731430963774
examples_photos,False,m960_i960,960,960,/workspace/models/yolo11s_960_best.pt,cpu,False,22,0.5,0.45,,,,,,,,,,,,,1,5,3,3.6349485871999603,165.22493578181638,6.0539997783771655,0.11117632294392087
test,True,m640_i640,640,640,/workspace/models/yolo11s_640_best.pt,cpu,False,126,0.5,0.45,0.9770723035010297,0.9341396059001912,0.9551237432529374,0.9607068840579709,0.9384635101010101,0.848596973938006,0.35016222222154847,50.61773829364332,0.24876738889938604,51.21666790476426,19.755920230943666,19.524893768166795,1,5,3,8.826351344199974,70.0504074936506,14.275752112367899,0.07527309894375227
test,True,m640_i960,640,960,/workspace/models/yolo11s_640_best.pt,cpu,False,126,0.5,0.45,0.9403006674538311,0.9486334664893623,0.9444486874160266,0.9640890561893836,0.8422256595723563,0.7670731936691462,0.7294446190501601,111.6430976031725,0.2764783888858166,112.64902061110848,8.957114425062167,8.877129997004062,1,5,3,18.78842717379994,149.11450137936458,6.706284742912323,0.015563040589323233
test,True,m960_i640,960,640,/workspace/models/yolo11s_960_best.pt,cpu,False,126,0.5,0.45,0.9913998112606911,0.9350591316576147,0.9624056095777966,0.9630148712408502,0.9456113260214812,0.8683068755600745,0.30392768253333335,48.258825190476365,0.21050525397041628,48.77325812698012,20.721598506657077,20.503038722500797,1,5,3,8.777267228800065,69.66085102222273,14.355393720450431,0.04806680577986636
test,True,m960_i960,960,960,/workspace/models/yolo11s_960_best.pt,cpu,False,126,0.5,0.45,0.9243854355658938,0.8901094796071845,0.9069237197939833,0.8961475595482948,0.8605451839826839,0.7965396768477165,0.8865523253960073,113.97458193650097,0.297127071422755,115.15826133331973,8.773886098192781,8.683701789362301,1,5,3,18.777109444399958,149.0246781301584,6.710352398266727,0.021382439593465256
test_0.5,True,m640_i640,640,640,/workspace/models/yolo11s_640_best.pt,cpu,False,126,0.5,0.45,0.982259180133896,0.9233415710470383,0.9518895644831665,0.957828212555348,0.9396541449562804,0.8354060962883108,0.356030761911334,50.42000966666762,0.22018813492000586,50.99622856349896,19.83339564214908,19.609293239299653,1,5,3,7.93496196979986,62.975888649205245,15.879095325843348,0.006621058236562817
test_0.5,True,m640_i960,640,960,/workspace/models/yolo11s_640_best.pt,cpu,False,126,0.5,0.45,0.9202424414544312,0.9010756355082967,0.9105581866711219,0.9457619064585943,0.8234849164447168,0.7546727410673041,0.7543159682528414,111.56813053968209,0.2817563253958926,112.60420283333082,8.963133066429972,8.880663197626228,1,5,3,17.946685389199956,142.43401102539647,7.020814973268035,0.013214034892940651
