set,labeled,experiment,training_size,inference_size,model_path,device,half,image_count,predict_conf,predict_iou,precision,recall,f1,mAP50,mAP75,mAP50-95,preprocess_ms_per_image,inference_ms_per_image,postprocess_ms_per_image,pipeline_ms_per_image,inference_fps,pipeline_fps,benchmark_batch,benchmark_repeats,benchmark_warmup_runs,end_to_end_mean_total_seconds,end_to_end_mean_ms_per_image,end_to_end_mean_fps,end_to_end_fps_std
examples_photos,False,m640_i640,640,640,/workspace/models/yolo11s_640_best.pt,0,True,22,0.5,0.45,,,,,,,,,,,,,1,5,3,1.0691773612000361,48.598970963638,28.94357999911196,11.754668892655083
examples_photos,False,m640_i960,640,960,/workspace/models/yolo11s_640_best.pt,0,True,22,0.5,0.45,,,,,,,,,,,,,1,5,3,1.1226451594000537,51.02932542727517,26.45067786626499,10.371082879103941
examples_photos,False,m960_i640,960,640,/workspace/models/yolo11s_960_best.pt,0,True,22,0.5,0.45,,,,,,,,,,,,,1,5,3,0.617982291200019,28.090104145455413,35.60493303126623,0.4820177926768409
examples_photos,False,m960_i960,960,960,/workspace/models/yolo11s_960_best.pt,0,True,22,0.5,0.45,,,,,,,,,,,,,1,5,3,0.6758048762000044,30.718403463636562,32.559544189519706,0.48667514759987124
test,True,m640_i640,640,640,/workspace/models/yolo11s_640_best.pt,0,True,126,0.5,0.45,0.9770482275915974,0.934170668757695,0.9551284763050538,0.9607068840579709,0.9348653300243817,0.845262310215843,0.3528094126993762,107.46207889682651,0.5085684206341688,108.32345673016005,9.30560817607197,9.231610864219903,1,5,3,1.7653994309999916,14.01110659523803,83.61733339245662,27.110549006206362
test,True,m640_i960,640,960,/workspace/models/yolo11s_640_best.pt,0,True,126,0.5,0.45,0.9402028665493111,0.9486801916500431,0.9444225059419037,0.9641268112914243,0.8439682616131725,0.7653404451600896,0.8683876428550422,106.43001444444303,0.5240261190472608,107.82242820634534,9.395845760426958,9.27450825060486,1,5,3,2.0360103913999863,16.15881263015862,69.62836090802436,20.36628456883657
test,True,m960_i640,960,640,/workspace/models/yolo11s_960_best.pt,0,True,126,0.5,0.45,0.9911725715000135,0.935134982206752,0.9623386911709959,0.9630148712408502,0.9456113260214812,0.86662889284163,0.678085666666426,1.4196506984141766,0.5402202777769984,2.637956642857601,704.3986250399847,379.0812872939174,1,5,3,1.334702884799981,10.592880038095085,94.73956278696387,6.233125141843664
test,True,m960_i960,960,960,/workspace/models/yolo11s_960_best.pt,0,True,126,0.5,0.45,0.9243869669486101,0.8901144738577067,0.9069270491852001,0.8961067395192672,0.8625263160581556,0.7991257518526804,1.2098149126970945,3.382907428572036,1.4974923333347254,6.090214674603856,295.6037139987929,164.1978244494388,1,5,3,1.6154937802000404,12.821379207936829,78.13510502513529,3.6654771822493806
test_0.5,True,m640_i640,640,640,/workspace/models/yolo11s_640_best.pt,0,True,126,0.5,0.45,0.9823299081431195,0.9232810097446558,0.951890588975065,0.9572147510168865,0.9359735518993855,0.8338274972110128,0.8112660873014951,1.2393987301583553,0.550906238095375,2.601571055555225,806.8428469926156,384.38312029366455,1,5,3,0.5876179569999976,4.663634579365061,216.30375130365047,21.028617387717446
test_0.5,True,m640_i960,640,960,/workspace/models/yolo11s_640_best.pt,0,True,126,0.5,0.45,0.9202294214928257,0.9011077227085638,0.9105681954720293,0.9454329590901732,0.8231559690762957,0.7539945185998903,1.0707275317475335,20.24608655555644,1.6898568888910588,23.006670976195032,49.39226142572994,43.46565398508539,1,5,3,0.8739724432000002,6.936289231746034,144.41495704201125,6.458427181513733
test_0.5,True,m960_i640,960,640,/workspace/models/yolo11s_960_best.pt,0,True,126,0.5,0.45,0.9948718148958645,0.9224805634154442,0.95730959286637,0.9565394684517496,0.9313228319783198,0.8437181540387367,0.8231628095245469,1.4123513015867561,1.463675960317846,3.699190071429149,708.0391393249786,270.3294452814259,1,5,3,0.5907248780000145,4.688292682539799,215.0927207450111,20.518911652972985
test_0.5,True,m960_i960,960,960,/workspace/models/yolo11s_960_best.pt,0,True,126,0.5,0.45,0.9279775597831341,0.9476578563619151,0.9377144593094401,0.9414485815602837,0.9206020207137228,0.8252871710374932,1.1386319365086934,3.3726929206338916,0.6182585238109694,5.129583380953554,296.49897679153423,194.94760602060958,1,5,3,0.8801150807999875,6.985040323809424,143.4453682295544,6.8971019322945555
